,Gender,Review,Rating
8280,F,escelente trabajo,4.5
8281,M,Will hire again.,5.0
8282,F,Those were perfect and on time.  Thanks,5.0
8283,M,this is the 3rd project that has been completed for my businesses. Will use the Freelancer again,4.8
8284,M,Very professional.,5.0
8285,,"IF YOU WANT AVERAGE WORK, SKIP HIS PROFILE AND GO GET ANOTHER FREELANCER TO COLLABORATE WITH. ONLY CHOOSE JAVIER IF YOU WANT TO WORK WITH THE BEST OUT THERE. PS: WROTE IN CAPITAL LETTERS ON PURPOSE :)",5.0
8286,,"Great work, done exactly as needed. very happy with the work and will hire again",4.9
8287,,"it was ok working with him

thank you for you time",4.7
8288,M,Nice work keep it up............,4.9
8289,M,"Excellent Work! Always love working with Jasmine, work great as a team and long term bussiness",5.0
8290,M,"Very helpful designer, good quality work done on time. Thank you.",5.0
8291,,good needs to work on checking own work before sending over but always responsive and gets the job done.,5.0
8292,,good job,5.0
8293,M,He is da best!!!!!,5.0
8294,M,Again great work,4.7
8295,F,Great! She is very helpful,5.0
8296,,Excellent Freelancer,5.0
8297,,awesome and fast work!,5.0
8298,,Just about to hire again.,5.0
8299,M,simply nice and trust worthy freelancer to hire....i will hire him for sure in future projects thank you....,4.9
8300,F,Mathena exceeded my expectations. She asked many questions to understand what my requirements were.  She completed the article in less than 24 hours and I asked for one revision as there was a bit of ambiguity to one of my answers. Her words are golden. I am extremely pleased and I know I will be hiring her again. Thank you very much Mathena.,4.8
8301,F,"Nicole is absolutely amazing to work with.  Design suggestions and insights are always spot on.   Yet again, she far exceeds expectations. Our new logo is not only gorgeous, but represents our new brand perfectly!",5.0
8302,M,great job!,5.0
8303,,He did a great work thank you,5.0
8304,M,"Professional Web Developer.
I will hire you on going project.
Thanks again.",5.0
8305,M,"It was a great experience working with Riyad, he assisted me and made great suggestions that were applicable to the project.",4.9
8306,M,"Joe stepped up big time! He not only handled the job like a pro, delivering on all expectations, he communicated throughout like a pro! Much appreciation to him and his work. I would highly recommend him and his expertise for your audio project.",4.6
8307,M,He i svery quick to deliver and understands the whole power bi concept,4.4
8308,,Great communications. Excellent work.,5.0
8309,,"Did a great job on the task, on time and on budget
Would definitely hire again",5.0
8310,M,He delivered very good work. Would work again with him. Thanks a lot!,5.0
8311,M,Followed up consistently.  Completed on time. Good work.,4.7
8312,M,My best experience on freelancer. This guy is brilliant.,5.0
8313,M,Great,4.9
8314,M,Easy to work with.,5.0
8315,F,I am very happy with the work she did.,5.0
8316,,Fixed my issue pretty quick.,5.0
8317,,Great!..hard worker,5.0
8318,M,"Did exactly what I asked, very quickly and for his bid.",4.6
8319,F,"Good Job Jessica, I would like to work in future. Very Satisfied. Quality Content & Quick Delivery. A+",4.9
8320,M,"He is professional and reliable and super talented, i recommend working with him",5.0
8321,M,Fantastic worker. Very prompt.,5.0
8322,,Great work!,5.0
8323,M,"Touhidul was available all the time, and delivered every modification. I highly recommend working with him.",2.5
8324,M,"Although it was a ""simple"" project, there was a lot of details to get it right both architecture-wise as well as user experience.  Shuli worked very hard on all the details and delivered the app on time and on budget.  Thank you!",5.0
8325,M,"Nelson is intelligent,  creative and great service.
He was fixed very difficult issues that nobody couldn't fix
Loved working with him, and will hire him again in a heart beat.",5.0
8326,,"Good job, best quality. Thanks",5.0
8327,,"Laurie was excellent, professional, and easy to work with. Will definitely work with Laurie again. Highly recommended!",5.0
8328,,good work in fast time,4.9
8329,M,"Evgeniy completed my project properly, and on time. Communication was easy, and the process was smooth. very professional, and I would recommend him.",5.0
8330,,Good communication and delivered quality work!,4.5
8331,M,"Great developer. No problems. Trusted. 
More than 10 developers asked me 100-150 euros for this work and he did it for just 40 euros and he did it RIGHT. I am very happy to hire him again.
He can update himself to more problems while other developers don't.
He is a good developer, work for a good price and will give you the product on time.",5.0
8332,M,It was properly done and communication was good and fast,5.0
8333,M,"very friendly person, good english, good hardworking.",5.0
8334,,Good communication. I am extremely satisfied with your service. and I have fully appreciated your site and your service.i would like to hire again!,5.0
8335,M,Very professional and pay attention to every detail,5.0
8336,,a pleasure.,5.0
8337,,"Excellent Illustrator! Fast turnaround, great communicator. Highly recommend!",5.0
8338,M,real quick!,5.0
8339,,Great job done by Jose... recommended!!,5.0
8340,M,Very professional!!! great work!!!,5.0
8341,,Muy profesional y muy agil en su respuesta,4.4
8342,,A Very good person to work with. Timely and very attentive to detail.,4.0
8343,M,thanks,4.9
8344,M,Very good work from Mohammad Apel M. This is the 2 time we use him for google work thx,5.0
8345,M,Daniel put a lot of different logos together and we found that many of his logos were competing against one another. Well Done Daniel,5.0
8346,F,"Very efficient, provided quality work and kept to scope. 
Would hire again.",5.0
8347,,Very easy to work with and loved the content produced. Thanks again!,5.0
8348,F,"Absolutely the best I have worked with. 
Everything was done on time and well within budget. 
Her did a fantastic job and I would highly recommend her. 
Easy to work with and very responsive even in the middle of the night! GREAT JOB.",5.0
8349,M,will hire again,5.0
8350,,Excellent Development Team!,5.0
8351,F,Victory was easy to work  & Communicate with. She brought some good ideas to the project. Would hire her again   Really Amazing ++++A+++,5.0
8352,M,"Exact script what I was looking, Understands the requirement and complete it",5.0
8353,,Excellent and highly professional worker. Highly recommended!,5.0
8354,F,"Great work, would use again",5.0
8355,,Very Bad Designer. Not helpful. difficult to understand. No imagination. Not recommended. Try to search 100 time before you think about him.,5.0
8356,,Timely and professional,4.6
8357,,Thank you Carlos for the great work.,5.0
8358,M,"Great work again. This team is so quick and done every task with perfection.  will work again sure. As i give you always A++++ and your team deserve this everytime. 

Great Experience.",5.0
8359,M,Good communication throughout the project. Works hard to try and find the best solution. Would recommend to others.,5.0
8360,M,Great experience!,5.0
8361,,Jay was having good communication and was supportive but we had to redo the whole project and fix the code several times.,4.7
8362,F,high-level cooperation:-)!,5.0
8363,,"Excellent work, professionalism and helpfunless. I'll work again with Ayb",4.7
8364,M,"It was super easy working with Kam, he was always in contact with us all the way and delivered our project and all of our changes within time and on budget.",5.0
8365,,The project has been terminated in a finalized agreement by both parties,4.9
8366,M,Dmytro is an extremely skilled freelancer! His great professionalism and wonderful sense of creativity are well balanced with his availability and kindness. Will hire him again for sure.,5.0
8367,M,Amr was very helpful and timely with his communication. He completed the project on time and to a high standard.,5.0
8368,M,"He has delivered good work in time, the communication was very good and he understood all the details without troubles. I would definatelly work with him again.
Thanks",5.0
8369,M,Nice work...thank you.,3.5
8370,M,perfect timing and budget will work with him again,5.0
8371,M,Always meets and exceeds my expectations. THank you so much! I will probably work with him at least once a week from now on.,5.0
8372,M,"Went above what was asked and stuck to all promises made, great work!",4.4
8373,F,It was a pleasure working with Sohang S.  The final product high quality and met my needs.  Excellent job!,5.0
8374,,John did a good job and was quick. My requirements were a little hard and not clear but John did a good job communicating and asking questions to get the job done.,5.0
8375,F,"Lida understood perfectly what I needed. If needed, will hire her again definately.",5.0
8376,,"My first job ever offered on Freelancer and thankfully, it was very smooth.",5.0
8377,,A pleasure to work with Anirudha. He did unlimited changes as requested.,5.0
8378,M,good to work with,5.0
8379,M,Thanks relly nice guy ! :-D,5.0
8380,,"The best as always, thanks",5.0
8381,M,"It was more than I expected, the solution offered was perfect. The attention was also quick and fluid",4.6
8382,F,"A very great designer. Understand whats needed and stays open for feedback!

Comment by a great IT company!

HostingKey",5.0
8383,,Highly recommended,5.0
8384,,greaty,5.0
8385,M,Great work again!,4.9
8386,F,"Joleen was very easy to work with and totally got the concept and requirements from the start from the contest description.
We were able to work together rather quickly and deliver the end product which I'm delighted with .",5.0
8387,M,Great job!,5.0
8388,F,Communication and Quality,5.0
8389,M,Efficient and reliable,4.8
8390,M,"Excellent knowledge, communication, punctuality. Worked very quickly. Obviously an expert.",5.0
8391,M,Awesome - can't wait to work again- highly professional,5.0
8392,M,"When awarding the project I was nervous as this was the first hardware project I'd submitted to the site. 

We were supplied with a Rolls version of our project, unfortunately we only had the budget for a mini!

It was not a problem for saikumaru he just re-worked the project and provided us with the mini version.

He was then very patient as we had the board created and populated. After testing and with a bit of tinkering with the code it works exactly as we require.

I have no problem in recommending him and would hire him again in an instance.

Thank you.",5.0
8393,,perfect,4.2
8394,F,Thanks for your work.,5.0
8395,F,Great!,5.0
8396,,Excellent work.,5.0
8397,F,"Very good lady, delivered work one time! highly recommended",5.0
8398,M,"Great Develepor!
Easy to communicate with and the work was excellent!! 
 

[15 February, 2017] Great to work with this developer. 
Easy to communicate with and delivered excellent work!!!",5.0
8399,,"-The turn around time 
-the kindness
-the willing to continuously make changes for what we would like to see in the product
-the dedication needed to get what was needed 

AND MOST OF ALL THE COMMUNICATION WAS GOLDEN",5.0
8400,M,"Very easy to work with, Ravinder did not balk at any requested revisions and was not satisfied until I was satisfied!",5.0
8401,M,Super job and honest person,5.0
8402,M,Incredible work! Md M. is super professional with a sharp eye for detail. I never go to anyone else. Consistently delivers great work with patience and professionalism. Thank you for all your hard work!!,5.0
8403,M,You can communicate with him,4.9
8404,M,THE BEST FREELANCER OF ALL TIME.,5.0
8405,M,"Hanan is a true professional, his attitude and skills perfectly responded to our project needs.
Looking forward to work with him again.",5.0
8406,,He did a good job!,5.0
8407,,Sergii G has a great mind for design.  His final design was both creative and accurate.  He was patient and handled all edit requests.  A pleasure to work with.,5.0
8408,M,Super professional !!!,5.0
8409,,"The overall outcome was good, satisfied work!",5.0
8410,M,"Roman knows his craft.
He's very cooperative too, and will literally commit to your project until the perfect result is achieved.",5.0
8411,M,GOOD JOB DONE AS PER OUR AMENDMENTS AFTER HIRING. THIS IS MY SECOND TIME WORKING WITH HIM.,5.0
8412,,Excellent work. Completed something I'd been working on for months.,5.0
8413,M,Very professional and helpful. Delivered good quality work on time.,5.0
8414,,"Awesome freelancer willing to adjust files, great communication and a really high quality and cute design.",5.0
8415,F,Great experience! academic expertise is simply top notch,5.0
8416,M,Sayeed communicated well and made sure he understood exactly what was required. The final work had some errors but was acceptable.,5.0
8417,,"He is a great professional, great skills and communication. Es un gran profesional, grandes aptitudes y buena comunicación.",5.0
8418,F,Was not flexible.,4.3
8419,M,thanks  mate,4.3
8420,M,"Great work, on time and efficient.",5.0
8421,,Fast and efficient service. Great design work.,4.5
8422,M,Very good service!,5.0
8423,,"Great work, really professional. they listened to my needs and solved then accordingly.",5.0
8424,M,"David was very through and insightful with my project. He noticed things that I had not noticed before. Was very friendly, and would love to work with him again.",5.0
8425,M,"Very Proffesional and very tolerant and with Good interpersonal skills ,
 Definitely will hire him again.",4.2
8426,,very good,5.0
8427,,"Had a quick homepage fix that I couldn't figure out, and Ren completed my project within 30 minutes. Pleasure to work with. Will use again.",5.0
8428,F,"Again she has proved her high  quality work, fast delivery and much more. Am really amazed by the work she's done. Going to hire her again!!!",5.0
8429,M,Quick and efficient,5.0
8430,,"thanks for the Great work , and the fast turnaround and communication . Will use again for sure",4.0
8431,M,"Good service, will use again",5.0
8432,M,Our company wanted a logo created from 0 in order to register the brand. The promptness he has shown since we published the announcement made him win the winner. The superior quality and the speed it proves to us make us always recommend a collaboration with this freelancer.,4.9
8433,M,Experienced professional who knows the job..,5.0
8434,M,Very professional Finished the project very quickly.  Highly recommended freelancer. Will definitely work with him again.,5.0
8435,M,"Bhupal was the BEST I could imagine.  His work was on target, on time and did exactly what I wanted.  I plan on hiring him again.",5.0
8436,M,Great communication and great understanding of the project. Thank you.,5.0
8437,,"Professional coding, did the job with thought about rare cases.
Quick at responding, Yes very very available and good communication.
She is the preferred programmer for my next tasks!",5.0
8438,,excellent and patient with the task required,4.8
8439,M,Will always use this guy! so great to work with,5.0
8440,M,Usama did an excellent job in creating a custom wordpress plugin. I recommend him and would hire him again.,5.0
8441,,"Very fast but neat worker, and responds with great communication.",5.0
8442,F,it was nice working with them.,3.9
8443,M,"We agreed he would deliver within 2 days, but he kept making excuses for postponing work to the next day,  then came with new excuses. Didn't read and follow simple and clear instructions and didn't test his own work before handing over. I hired him per hour, but he billed unfairly, even billed for things I had to solve myself because he wasn't able to. In the end I gave him the choice to either deliver part of the work (the easiest part!) immediately or I would find another freelancer, he then tried hard but made a complete mess. He also blindly overwrites older files, never leaves backups for older files, and doesn't comment inside the scripts he worked on. At least he was mature enough to cancel my milestone so I didn't have to go through a dispute but still employers should be warned. Don't hire him per hour and not for complicated tasks or larger jobs.",5.0
8444,M,Waleed delivered all what was required  even before the deadline and with exceptional results. He did all the modifications I asked for right away. I highly recommend him for any web design work and will definitely work with him again soon.,5.0
8445,,Excelente trabajo ! Me encanto! Muy profesional y creativo. Lo recomiendo!,5.0
8446,M,Again he has delivered the expected result. Great Job,4.2
8447,,Thanks a lot for your upper-advanced quality work! It was super perfect in short time and very good budget! You are the best!,5.0
8448,M,Its ok,4.6
8449,F,Good works.,5.0
8450,,Very diligent and fast to respond. Work was excellent. Would recommend for anyone looking to get any web customs,4.0
8451,,the best with anything related to odoo,5.0
8452,M,"Easy to work with Alex. Quickly done all technical requirements.
Thanks for your high quality work and I will definitely hire this coder again for my future projects.",5.0
8453,M,Chris is very good to work with and gets the end result that I asked for.,5.0
8454,M,"It's great working with him - thanks a lot Masum.

[07 May, 2018] It's great working with him - thanks a lot Masum.

[07 May, 2018] It's great working with him - thanks a lot Masum.

[07 May, 2018] It's great working with him - thanks a lot Masum.

[07 May, 2018] It's great working with him - thanks a lot Masum.",5.0
8455,,A++++++++ WORK!!!!!,5.0
8456,M,"Everything is perfect with Marcos, he was so professional and very helpful!",3.0
8457,M,Excellent Work again.  Thank you!,5.0
8458,M,experienced freelanced got my model ready already in his library thanks.,1.0
8459,M,"The communication was poor, which is very important to me. He is knowledgable, but just needs to be more responsive.",5.0
8460,,I had peace of mind working with him. Great freelancer...,5.0
8461,F,Excellent job. Great with communication and fast with revisions. Very friendly. I highly recommend her and would definitely hire her again.,5.0
8462,,One of the best of the more than 120 developers we work.,5.0
8463,,"Profesional impecable, realizó el trabajo perfectamente antes del tiempo requerido, con rigor y estando completamente informados en todo momento. Totalmente recomendable.",5.0
8464,M,yes great job thanks. Very patient and adjusted every request we had.,5.0
8465,,"Mateo me ayudo muchisimo en el proyecto, pues hemos podido terminar los ajustes que teniamos pendientes a tiempo",4.9
8466,M,Great job! Very professional!,5.0
8467,M,"Awesome expérience
Brian was more then nice to me to understand what I wanted and did made me an amazing REVIEW.
I will totally go back to him in the futur.

Thank you BRIAN",5.0
8468,M,Vlad D. Was very helpful and fast at answering and making any changes that I wanted done. Will definitely use again. I highly recommend his work.,5.0
8469,M,Ich bin sehr zufrieden mit seiner Arbeit und kann ihn nur weiter empfehlen. Er hat mir eine wunderschöne und design-getreue Webseite erstellt. Auch die Kommunikation auf deutsch war angenehm. Für kommende Projekte werde ich Ihn als erstes anfragen. Vielen Dank!,4.4
8470,M,"from two parts of project first was ok second was waste, also no support for one .. waste",5.0
8471,,"Excellent work, very fast and great communication (I'm born and raised in USA).",5.0
8472,M,"One of the best Freelancers I have ever worked with. He is professional, thorough, knows his work inside out and an absolute pleasure to work with. The outstanding job is done by an outstanding person.
In the future, I think I will hire him.
Nice!",5.0
8473,,"Good One, Good Work Rajiv",5.0
8474,,"There are no words to express how AMAZING this freelancer is...he was friendly, professional, and delivered excellent work ahead of schedule. I highly recommend Edward for your next project. A+++",5.0
8475,M,"Best Freelancer ever,he solved all problem within time and successfully.I will work with him in future.",5.0
8476,M,Fast and responsive.,4.9
8477,M,"This freelancer is very talented person. He is very skilled and smart more than expected, comparing with the others freelancers in this website, he is the one and only who is really you can rely on with your work.
I surely will rehire you more and more again!",1.0
8478,F,"Sooo good, i can't believe how fast i got my logo done. punnet K is  surprisingly easy to get a handle of and the Logo selection is really easily . great! Thanks so much for the great service.i will hire again......:)",5.0
8479,,"Excellent work, recommended.",5.0
8480,M,Very good work JK. Excellent!,5.0
8481,M,Rishun is a genius! I cannot thank him enough for his help... he came up with great solutions very quickly and showed me how to use the new features. He was very patient with me. I would use again any time!!!,5.0
8482,,"Entregó todo en tiempo y fue accesible con los cambios, tiene conocimientos de diseño editorial",5.0
8483,M,Great developer ! Highly recommended,4.8
8484,F,Very good,4.9
8485,M,Great to work with! My mockup design for my mobile menu was brought to life with his creativity. I am veryyyy happy with the work he has done & I recommend anyone reading this to hire him!,5.0
8486,M,"Great work, thanks. Second time working together.",4.8
8487,F,Very fast and Professional!,4.2
8488,M,Partha did a great work on the task. Delivered the project on time and within budget,5.0
8489,M,Very responsive,5.0
8490,M,He was great and will work with him again!,5.0
8491,F,"Although only brief, working with patricia on this project was an absolute breeze, she understood the original brief very well and made appropriate changes very quickly. Thank you very much!",5.0
8492,,Great experience,5.0
8493,M,Recomand +++++++++++++++++++++++++++++++++++++++,5.0
8494,F,It was great working with you Christine. Really appreciate the late hours you had to communicate with me on the project given the time zone difference. Looking forward to engaging with you again.,5.0
8495,M,He delivered very good work. Would work again with him. Thanks a lot!,5.0
8496,,EXCELLENT work!  was among the top  of 80+ entries,5.0
8497,,Really patient and amazing work!,5.0
8498,M,"Ans is very professional and hard working guy. He went to extreme depth to understand the work, and creative enough to form masterpiece out of my existing ones. I recommend working with Ans for every new project.",5.0
8499,,Did an awesome work as always..... cheers...,5.0
8500,,Great,5.0
8501,M,"I was seeking for a logo for a client after a lot of tries, I decided to make a contest and Asim's design saved me",5.0
8502,,"Excellent work was done, timely project completion, very prompt with all steps we had mentioned, cooperative. Thank you",5.0
8503,M,Excellent communication and very fast worker. Would definately recommend and will use again.,4.9
8504,M,Excellent work done,4.9
8505,M,Fast and accurate. Flexible in review process.,5.0
8506,M,Amazing communication and speed of delivery! Will hire again for more work in the future! Thanks Scott!!,4.9
8507,,"Seabit Media delivered exactly was i needed, and all requested modifications were made. I highly recommend working with them especially in 3D logo designing.",5.0
8508,,better change attitude.,5.0
8509,M,"James is a serious professional with a huge patience. He understood everything and adapted to my limited timings. Looking forward to work with him again soon in new projects. Thanks James, keep going!",5.0
8510,,"Very good coder, got the job done quickly, and satisfied each aspect of my requirement. Thank you, will hire again!",5.0
8511,M,Great work!,5.0
8512,M,Very responsive and wonderful to work with. Gave me what I was looking for!,0.0
8513,M,"Speak English fine, which s a plus. He was unable to start to work in the project and despite that I agree to give all the time he needs he confess he could not do this project. Unfortunately makes me lost a week of time despite that I trust him. Pity.",5.0
8514,M,Issues discovered after go live is not their problem. Communication becomes so poor to almost not responding at all..,4.4
8515,,Good fast work.,5.0
8516,M,"Fast, creative,  he have a high ability to complete his mission. In one word Hisham is one of the good designers  who I worked with them . I will back for him to make another project.",5.0
8517,M,"Alexandru is a very capable and competent developer, he is efficient and very professional.
I am looking forward to working with him on  future projects.",5.0
8518,M,Very nice and prompt work. Will work with him again.,5.0
8519,,Aces Everytime! Thank you for another fabulous job!,5.0
8520,M,Perfect work. Thank you!,5.0
8521,,Very clean work! Professional!,5.0
8522,,I am fully satisfied. I still work with him.,5.0
8523,M,he did alright,4.3
8524,M,Easy and pleasant,5.0
8525,M,"he is ok , but not the best in writing Arabic Content for your website. I had an issue with him in understanding the core of my project , I asked him to write for me a description for platform and material were provided , I confirmed with him that he understood my project and he assured me but I discovered that completely he was off from what i was explaining to him. I have Asked him if he did use google for translation but Unfortunately he did use it .
he waisted significant amount of time for me , but I have to mention he offered to fix the project gain and rewrite it each was good thing and I appreciated this for him.",5.0
8526,,Fantastic work as always! Thankyou so much!~,5.0
8527,M,Very nice result. Will hire again.,5.0
8528,,"very good to work with, good designs and very quick",5.0
8529,M,Very fast and did good work,5.0
8530,M,Great freelancer to work with A+,5.0
8531,,Great job,5.0
8532,M,Fast Turn Around Time. Quickly completed the job. highly-skilled and recommended.,5.0
8533,M,"We paid $459 in advance (20% of project)as he requested, but he & his team don't work for your project  unless you both online - of course you need appointment - keep pushing to change your concept, keep pushing to talk out of freelancer so he'll not be penalized by freelancer management, took 3 weeks to make 1second fading flash between two pictures,  therefore I decided to cancel the project & get my money, but it took 7months to get back $160 only and he took $256 for his lies only & wasting my time.
in simple words ""professional lair , you loose your money, & Freelancer can't help you out even you hired a recruiter""",5.0
8534,M,great response,5.0
8535,,Awesome work as always! Thank you again,5.0
8536,M,Honestly he is a top man. He knows his job perfectly a fast.,5.0
8537,F,She is very professional .. very nice comunication .. thank you,4.4
8538,M,"Very good developer , High quality and high speed",5.0
8539,,fast job!,2.4
8540,M,"He did a great job, i recommend him for everyone !",0.0
8541,M,"Great job by Ariful, he is a good designer ! for more info's on his work his work you can contact me on hello@[login to view URL]",5.0
8542,,"Rehired Pragash,  and same as the first time.... Perfect!!",5.0
8543,,"Great, friendly and cost-effective guy",5.0
8544,M,great team,5.0
8545,M,"Thank you again. Amazing work as always, highly recomended",5.0
8546,,thanks,4.9
8547,M,"Gabriel is excellent developer.
He have rich experiences in wordpress theme customization.
I will hire him again.
Thanks.",2.6
8548,M,Good freelancer,3.0
8549,M,"some misunderstanding at first, but he knows what's he doing!!! and knowledgable too, will hire again.... did more than expected too!",5.0
8550,,Very good job. Thank you.,3.6
8551,M,Jorge saved our company pure and simple.,5.0
8552,,"Understand requirements, Fast quality work, will definitely work with again.",5.0
8553,M,"Rashid is a good freelancer to work with him, he is very kind and has real patience with clients. in future inshAllah , will continue projects with him",5.0
8554,M,Great work,5.0
8555,F,The project is not completed according to the dispute,5.0
8556,M,Will use in future on next project,5.0
8557,M,He is one of the best developers.,5.0
8558,M,"Alok brings with him a very high level of expertise in embedded HW design. He drove the architecture and implementation for the embedded electronics for our product and easily juggled multiple parameters like performance, ease of FW integration, cost and ease of sourcing the components while making decisions on the implementation. The electronics was built first-time-right, and given the complexity of the system we are building, it is a terrific achievement!

The scope of the project increased as we dug deeper into our system requirements, and that had an impact on the budget and timelines. Alok was very proactive with his communication, and clearly kept me in the loop on the impact of our changes to the system requirements.

I will happily recommend Alok to any one looking for embedded electronics help, and he will definitely be my first-choice on any subsequent embedded electronics design.",5.0
8559,M,Love my logo. Scott took my brief fully into account and produced a logo that matched exactly what I was looking for. Would definitely recommend and would certainly work with him again.,5.0
8560,F,"Awesome design, great service!! Will use again",5.0
8561,,"Good job, thank you",3.5
8562,M,good for work,5.0
8563,M,Very nice and helpful.,5.0
8564,M,He tackled all requests quickly and completely and delivered exactly what was asked. I will be coming back for future versions and other gigs.,0.0
8565,,"It was excellent to work with him. He is hard working and creative as well. I recommend Harikaran for all employers, Thanks",5.0
8566,M,"AA++ provider,Dharmesh and his team did a fantastic job on my projects. I will definitely hire him again when the need arises. Very good communication and always available for me.",5.0
8567,M,Oleg's research has been very beneficial to my needs and on time every time we have worked together.,4.9
8568,M,Worked well.,5.0
8569,M,I recommand,4.8
8570,,"Great work, recommended!",5.0
8571,F,Excellent. A++++++++. Perfect work. Thanks.,5.0
8572,,Thank you for your help with this project. It is small but you have delivered.,5.0
8573,,Very happy with the work. Thank you,5.0
8574,F,very fantastic designer. it was very complicated logo but Amazing Arts  make it with in short of time and also in few revisions. the communication was very well. i will work with her again. Highly Recommended !!,5.0
8575,,Good work done one time,5.0
8576,,"Sofia was very professional, the project was delivered on time and in 100% quality. I can definitely recommend for any voiceover job.",5.0
8577,,Good work on timely manner. Good understanding and communication,5.0
8578,,"""El mejor"" ;), excelente comunicación y trato",5.0
8579,M,great work would definitely deal with again,3.0
8580,F,Thanks Yasmin!,5.0
8581,M,Excellent job!!! Very professional and help minded. A++++++,5.0
8582,,Molto professionale!!,5.0
8583,M,Great creative work.,5.0
8584,M,Quick and quality work,5.0
8585,,Excellent work as always!,4.9
8586,,Excellent work.,5.0
8587,M,"great work, will work with him again for sure!",5.0
8588,,Perfect! Did different website designs within a contest. The requested changes were made fast and efficient.,5.0
8589,,"Atendió mi necesidad con mucha rapidez y se mostró flexible y receptivo a mis peticiones, que no había detallado bien en el proyecto. Lo recomiendo!",5.0
8590,,Flow is excellent,5.0
8591,M,Fast work,5.0
8592,M,great person to work with! Thx you !,5.0
8593,M,Excellent result.  Highly recommended!,4.7
8594,,Very responsive and good work,5.0
8595,,professional work  - expertise - exceptional perfoermance!! I could not be more happy abou the final work. I will definitely cooperate again with Niki for all my future translations :),5.0
8596,,Ms Luthfun is very professional takes direction well and produces on time and budget,5.0
8597,M,"Great, work was well done, i will work with again.",5.0
8598,M,"I am very satisfied that I have found Webming Technologies through Freelancer. They are very reliable, and respond very quickly to any queries. Through their experience they have been able to guide me through the process and give some helpful suggestions. Before starting the work, they sent me a detailed written proposal, which ensured that both sides were clear on the work that would be included, the milestones, and the cost involved. 
The website is taking longer to complete than anticipated, but that is due to repeating changes and paying too much attention to small details on my side ( eg  submitting countless  lists of corrections ).  Webming Technologies have always been quick to respond and to complete their work.
I would highly recommend them to anyone looking for website development, and will use their services again.",4.4
8599,M,very good work on PS.,5.0
8600,F,it was nice working with malissa.  i hope to work with her again,5.0
8601,M,"Excellent seller. Contacted him for hard tasks and he was able to deliver all. Surely one of the best, if not the best team of developpers on Freelancer. Really talented team that can fix anything.",5.0
8602,M,"Ibrahim was very helpful in providing solutions for my needs, and was done before the deadline.

Thanks!",5.0
8603,M,Great to work with,4.8
8604,M,Nice to work with him,5.0
8605,,"Thank you, I will award you again.",5.0
8606,,"Sachin B was great to work with, understood the requirements, asked relevant questions when required, with excellent communication throughout the project. Quality of work and delivery was excellent. Will definitely use Sachin again and would highly recommend!",4.9
8607,,Great working with him!,4.4
8608,F,"GREAT experience! Prompt, professional, quality service. Rosa listened to my needs and delivered exactly what I was looking for. I really wanted a hand-drawn/sketched/painted feel to my project and I couldn't be happier. Will order again if the need arises!",4.4
8609,M,Took a little longer this time however the quality is A+ amd will definately use again,3.8
8610,M,Great work like always . Will hire again and again.,5.0
8611,M,Mayank did a wonderful job and the quality of his work is absolutely beyond our expectations. We highly recommend him to any WP projects!,5.0
8612,F,"Спасибо Ирине за качественно проделанную работу по дизайну брендирования грузовых автомобилей для логистической компании. Хочется отметить не только приятный дизайн как результат работы, но и лёгкость общения, принятие правок, готовность пойти на встречу и подготовить дополнительные форматы дизайна в желаемых нами разрешениях.",5.0
8613,,great work,5.0
8614,M,Im a first time user in freelancer. So many things to take note and so many people interested in my project. Not sure who to choose from. I choose Nishit coz of its name. He guide me from the start. step by step. yes!! step by step. he know all the details and clicks in freelancer. On top of that he did a excellent job on my Product Catalogue. Even my competitor ask me who did it for me. Very professionally done. Am surprised. Its as good as those Multi National Companies out there. Very Experience. Comes with after sales service too.,4.8
8615,M,Big heart for this guy!! Love your work :-),5.0
8616,M,Prompt response and great job. Thanks a lot,5.0
8617,M,"Abraham did an awesome job getting everything meticulously planed and executed. 

Her is the type of person you always want to have on your team! 

Job well done!",5.0
8618,,Not bad. Decent work.,3.0
8619,,great,5.0
8620,M,"the best experience ! so professional, communicative and on time!!
and excellent skills!!",5.0
8621,F,"Very good understanding of requirements,  on time and budget",5.0
8622,M,"highly recommended ,very professional work, delivered on time and on budget,  very helpful communication and the code full commented ,sure will hire again",5.0
8623,M,"Great guy , smart and fast!!!",5.0
8624,M,excellent work,5.0
8625,M,"He worked very well, much patience and good technical level!

Would hire him again",5.0
8626,M,"Great designer with so many hidden skills , highly recommended",4.5
8627,M,"Denis did a fantastic job and was a clear communicator. He is very proficient on Shopify and delivered beyond my expectations for the job I had. He does need to read instructions carefully and stick to his bid budget, however. In the end, I was happy to pay a little extra for what was a really great job and I'd happily hire him again!",5.0
8628,M,He won the contest. Provided what I looked for. Congrats,5.0
8629,,LogoRocket was awesome to work with! He/She fully understood the request regarding our logo creation. We regularly need logos and will use LogoRocket going forward!,3.0
8630,F,Good Experience. Thank You!,4.5
8631,M,"Rafi provided excellent designs. While I experienced few communication problems with the freelancer, we eventually managed to make it work.",5.0
8632,M,"Very easy to work with, it was a pleasure.",3.5
8633,M,good job thanks,5.0
8634,,"Very well done work, will hire again.",5.0
8635,F,Patricia makes it possible for our projects to look so professional and she brings new ideas and a fresh perspective. Love working with her!,5.0
